ID,Name in English,Degree of endangerment,Country,Country code alpha 3
1022,South Italian,Vulnerable,Italy,ITA
1023,Sicilian,Vulnerable,Italy,ITA
383,Low Saxon,Vulnerable,Germany,DEU
383,Low Saxon,Vulnerable,Denmark,DNK
383,Low Saxon,Vulnerable,Netherlands,NLD
383,Low Saxon,Vulnerable,Poland,POL
383,Low Saxon,Vulnerable,Russian Federation,RUS
335,Belarusian,Vulnerable,Belarus,BLR
335,Belarusian,Vulnerable,Latvia,LVA
335,Belarusian,Vulnerable,Lithuania,LTU
335,Belarusian,Vulnerable,Poland,POL
335,Belarusian,Vulnerable,Russian Federation,RUS
335,Belarusian,Vulnerable,Ukraine,UKR
382,Lombard,Definitely endangered,Italy,ITA
382,Lombard,Definitely endangered,Switzerland,CHE
405,Romani,Definitely endangered,Albania,ALB
405,Romani,Definitely endangered,Germany,DEU
405,Romani,Definitely endangered,Austria,AUT
405,Romani,Definitely endangered,Belarus,BLR
405,Romani,Definitely endangered,Bosnia and Herzegovina,BIH
405,Romani,Definitely endangered,Bulgaria,BGR
405,Romani,Definitely endangered,Croatia,HRV
405,Romani,Definitely endangered,Estonia,EST
405,Romani,Definitely endangered,Finland,FIN
405,Romani,Definitely endangered,France,FRA
405,Romani,Definitely endangered,Greece,GRC
405,Romani,Definitely endangered,Hungary,HUN
405,Romani,Definitely endangered,Italy,ITA
405,Romani,Definitely endangered,Latvia,LVA
405,Romani,Definitely endangered,Lithuania,LTU
405,Romani,Definitely endangered,The former Yugoslav Republic of Macedonia,MKD
405,Romani,Definitely endangered,Netherlands,NLD
405,Romani,Definitely endangered,Poland,POL
405,Romani,Definitely endangered,Romania,ROU
405,Romani,Definitely endangered,United Kingdom of Great Britain and Northern Ireland,GBR
405,Romani,Definitely endangered,Russian Federation,RUS
405,Romani,Definitely endangered,Slovakia,SVK
405,Romani,Definitely endangered,Slovenia,SVN
405,Romani,Definitely endangered,Switzerland,CHE
405,Romani,Definitely endangered,Czech Republic,CZE
405,Romani,Definitely endangered,Turkey,TUR
405,Romani,Definitely endangered,Ukraine,UKR
405,Romani,Definitely endangered,Serbia,SRB
405,Romani,Definitely endangered,Montenegro,MNE
2211,Yiddish (Israel),Definitely endangered,Israel,ISR
1586,Gondi,Vulnerable,India,IND
1020,Limburgian-Ripuarian,Vulnerable,Germany,DEU
1020,Limburgian-Ripuarian,Vulnerable,Belgium,BEL
1020,Limburgian-Ripuarian,Vulnerable,Netherlands,NLD
1943,Quechua of Southern Bolivia,Vulnerable,Bolivia (Plurinational State of),BOL
1565,Kumaoni,Vulnerable,India,IND
1565,Kumaoni,Vulnerable,Nepal,NPL
755,Aymara,Vulnerable,Bolivia (Plurinational State of),BOL
755,Aymara,Vulnerable,Chile,CHL
755,Aymara,Vulnerable,Peru,PER
349,Emilian-Romagnol,Definitely endangered,Italy,ITA
349,Emilian-Romagnol,Definitely endangered,San Marino,SMR
399,Piedmontese,Definitely endangered,Italy,ITA
1021,Venetan,Vulnerable,Croatia,HRV
1021,Venetan,Vulnerable,Italy,ITA
1021,Venetan,Vulnerable,Slovenia,SVN
1985,Zazaki,Vulnerable,Turkey,TUR
1591,Kurux (India),Vulnerable,India,IND
2065,Tamajeq,Vulnerable,Niger,NER
1585,Tulu,Vulnerable,India,IND
1556,Kangdi,Definitely endangered,India,IND
410,Scots,Vulnerable,United Kingdom of Great Britain and Northern Ireland,GBR
1026,Torlak,Vulnerable,Albania,ALB
1026,Torlak,Vulnerable,Bulgaria,BGR
1026,Torlak,Vulnerable,The former Yugoslav Republic of Macedonia,MKD
1026,Torlak,Vulnerable,Romania,ROU
1026,Torlak,Vulnerable,Serbia,SRB
1476,West Flemish,Vulnerable,Belgium,BEL
1476,West Flemish,Vulnerable,France,FRA
1476,West Flemish,Vulnerable,Netherlands,NLD
334,Bashkir,Vulnerable,Russian Federation,RUS
1067,Chechen,Vulnerable,Russian Federation,RUS
338,Chuvash,Vulnerable,Russian Federation,RUS
1227,Meithei,Vulnerable,India,IND
1114,Tamang,Vulnerable,India,IND
1114,Tamang,Vulnerable,Nepal,NPL
1013,Quechua of Cuzco,Vulnerable,Peru,PER
1024,Eastern Slovak,Vulnerable,Slovakia,SVK
1024,Eastern Slovak,Vulnerable,Ukraine,UKR
377,Ligurian,Definitely endangered,France,FRA
377,Ligurian,Definitely endangered,Italy,ITA
377,Ligurian,Definitely endangered,Monaco,MCO
407,Rusyn,Vulnerable,Hungary,HUN
407,Rusyn,Vulnerable,Poland,POL
407,Rusyn,Vulnerable,Romania,ROU
407,Rusyn,Vulnerable,Slovakia,SVK
407,Rusyn,Vulnerable,Ukraine,UKR
1515,Talysh,Vulnerable,Azerbaijan,AZE
1515,Talysh,Vulnerable,Iran (Islamic Republic of),IRN
1577,Kui,Vulnerable,India,IND
1231,Khasi,Vulnerable,India,IND
1229,Bodo,Vulnerable,India,IND
337,Campidanese,Definitely endangered,Italy,ITA
1803,K'iche' (Guatemala),Vulnerable,Guatemala,GTM
989,Quechua of Ayacucho,Definitely endangered,Peru,PER
1117,Newar,Definitely endangered,Nepal,NPL
2222,Mon,Vulnerable,Myanmar,MMR
2222,Mon,Vulnerable,Thailand,THA
1523,Polesian,Vulnerable,Belarus,BLR
1523,Polesian,Vulnerable,Poland,POL
1523,Polesian,Vulnerable,Ukraine,UKR
701,Tamaceq,Definitely endangered,Mali,MLI
1069,Avar,Vulnerable,Russian Federation,RUS
1211,Mundari,Vulnerable,India,IND
425,Welsh,Vulnerable,United Kingdom of Great Britain and Northern Ireland,GBR
1202,Angika,Vulnerable,India,IND
1202,Angika,Vulnerable,Nepal,NPL
1827,Q'eqchi' (Guatemala),Vulnerable,Guatemala,GTM
398,Picard,Severely endangered,Belgium,BEL
398,Picard,Severely endangered,France,FRA
1228,Kokborok,Vulnerable,Bangladesh,BGD
1228,Kokborok,Vulnerable,India,IND
415,Basque,Vulnerable,Spain,ESP
415,Basque,Vulnerable,France,FRA
1065,Kabard-Cherkes,Vulnerable,Russian Federation,RUS
1065,Kabard-Cherkes,Vulnerable,Turkey,TUR
1559,Mandeali,Definitely endangered,India,IND
353,Friulian,Definitely endangered,Italy,ITA
997,Quechua of Ancash and Huánuco,Definitely endangered,Peru,PER
1947,Walloon,Definitely endangered,Belgium,BEL
1947,Walloon,Definitely endangered,France,FRA
1947,Walloon,Definitely endangered,Luxembourg,LUX
1091,Mising,Definitely endangered,India,IND
1066,Ossete,Vulnerable,Georgia,GEO
1066,Ossete,Vulnerable,Russian Federation,RUS
1230,Mizo,Vulnerable,India,IND
1070,Dargwa,Vulnerable,Russian Federation,RUS
331,Aromanian,Definitely endangered,Albania,ALB
331,Aromanian,Definitely endangered,Bulgaria,BGR
331,Aromanian,Definitely endangered,Greece,GRC
331,Aromanian,Definitely endangered,The former Yugoslav Republic of Macedonia,MKD
331,Aromanian,Definitely endangered,Serbia,SRB
2485,Brahui,Vulnerable,Iran (Islamic Republic of),IRN
2485,Brahui,Vulnerable,Pakistan,PAK
2485,Brahui,Vulnerable,Afghanistan,AFG
375,Languedocian,Severely endangered,France,FRA
1072,Lezgian,Vulnerable,Azerbaijan,AZE
1072,Lezgian,Vulnerable,Russian Federation,RUS
1558,Mahasui,Definitely endangered,India,IND
1118,Magar,Definitely endangered,Nepal,NPL
1822,Mam (Guatemala),Vulnerable,Guatemala,GTM
418,Udmurt,Definitely endangered,Russian Federation,RUS
1506,Huasteca Náhuatl,Vulnerable,Mexico,MEX
1074,Kumyk,Vulnerable,Russian Federation,RUS
508,Yakut,Vulnerable,Russian Federation,RUS
1801,Kaqchikel (Guatemala),Vulnerable,Guatemala,GTM
1165,Karbi,Vulnerable,India,IND
347,Eastern Mari,Definitely endangered,Russian Federation,RUS
1068,Ingush,Vulnerable,Russian Federation,RUS
350,Erzya,Definitely endangered,Russian Federation,RUS
1212,Ho,Vulnerable,India,IND
2165,Judezmo (Israel),Severely endangered,Israel,ISR
534,Lalo,Vulnerable,China,CHN
378,Limousin,Severely endangered,France,FRA
381,Logudorese,Definitely endangered,Italy,ITA
626,Mapuche (Chile),Definitely endangered,Chile,CHL
1503,Central Náhuatl,Vulnerable,Mexico,MEX
424,Moselle Franconian,Vulnerable,Germany,DEU
424,Moselle Franconian,Vulnerable,Belgium,BEL
424,Moselle Franconian,Vulnerable,France,FRA
424,Moselle Franconian,Vulnerable,Luxembourg,LUX
964,Bantawa,Vulnerable,Nepal,NPL
1424,Santa,Vulnerable,China,CHN
1057,Mingrelian,Definitely endangered,Georgia,GEO
426,West Frisian,Vulnerable,Netherlands,NLD
1113,Gurung,Definitely endangered,Nepal,NPL
295,Guajiro,Vulnerable,Colombia,COL
295,Guajiro,Vulnerable,Venezuela (Bolivarian Republic of),VEN
